"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2015","181.36","181.37","181.47","181.07","1.31K","0.34%"
"11/25/2015","180.75","180.05","181.92","180.05","1.14K","-0.01%"
"11/24/2015","180.76","180.59","180.90","180.43","0.87K","-0.11%"
"11/23/2015","180.95","180.00","181.03","179.71","6.34K","0.43%"
"11/20/2015","180.17","179.22","180.23","178.98","6.50K","1.17%"
"11/19/2015","178.08","178.84","178.87","178.17","2.79K","-0.63%"
"11/18/2015","179.21","178.67","179.31","178.39","0.99K","0.26%"
"11/17/2015","178.74","178.48","178.88","178.00","2.09K","0.55%"
"11/16/2015","177.76","176.77","178.11","176.77","1.27K","0.05%"
"11/13/2015","177.67","176.76","177.63","176.55","7.21K","0.50%"
"11/12/2015","176.79","176.71","177.68","176.51","3.53K","-0.18%"
"11/11/2015","177.11","177.35","177.35","176.99","0.73K","-0.66%"
"11/10/2015","178.28","177.44","178.25","177.06","6.80K","0.84%"
"11/09/2015","176.79","176.57","177.41","176.57","2.75K","-0.18%"
"11/06/2015","177.10","176.05","177.70","175.87","1.23K","0.83%"
"11/05/2015","175.65","177.00","177.00","175.70","1.30K","-0.37%"
"11/04/2015","176.31","176.04","176.95","175.79","11.95K","0.38%"
"11/03/2015","175.64","174.86","175.50","174.86","0.65K","0.82%"
"11/02/2015","174.21","174.23","174.41","174.00","1.31K","-0.13%"
"10/30/2015","174.44","174.55","174.65","173.71","2.75K","-0.22%"
"10/29/2015","174.83","175.49","175.85","174.68","0.90K","0.41%"
"10/28/2015","174.11","173.60","175.14","173.60","0.53K","-0.59%"
"10/27/2015","175.15","174.87","175.13","174.87","0.54K","0.22%"
"10/26/2015","174.77","173.74","175.31","173.74","0.56K","-0.18%"
"10/23/2015","175.08","174.13","175.01","173.49","0.28K","1.28%"
"10/22/2015","172.86","170.13","172.79","170.13","0.68K","1.78%"
"10/21/2015","169.83","170.10","170.10","169.52","7.02K","0.25%"
"10/20/2015","169.40","169.59","169.59","169.23","0.08K","-0.32%"
"10/19/2015","169.94","169.75","170.50","169.73","4.87K","0.04%"
"10/16/2015","169.88","170.40","170.69","169.88","0.62K","0.11%"
"10/15/2015","169.69","168.95","170.31","168.95","0.55K","0.25%"
"10/14/2015","169.27","169.53","169.60","169.20","4.33K","-0.28%"
"10/13/2015","169.75","169.66","170.35","169.50","0.58K","-0.32%"
"10/12/2015","170.30","169.89","170.30","169.73","0.45K","0.21%"
"10/09/2015","169.95","170.95","170.95","169.89","1.87K","-0.97%"
"10/08/2015","171.62","171.93","172.52","171.81","0.33K","-0.27%"
"10/07/2015","172.09","172.08","172.33","171.72","0.19K","0.14%"
"10/06/2015","171.85","172.59","172.59","172.00","0.67K","-0.50%"
"10/05/2015","172.71","171.73","172.20","171.37","0.12K","0.41%"
"10/02/2015","172.01","172.48","172.48","171.75","2.80K","0.00%"
"10/01/2015","172.01","171.96","172.45","171.96","1.25K","0.24%"
"09/30/2015","171.60","170.72","171.79","170.44","2.29K","0.69%"
"09/29/2015","170.43","170.00","170.69","170.00","1.93K","-0.19%"
"09/28/2015","170.75","170.91","170.93","170.81","0.24K","0.04%"
"09/25/2015","170.69","171.91","171.91","171.00","0.18K","-0.05%"
"09/24/2015","170.77","170.46","171.36","170.46","0.07K","-0.83%"
"09/23/2015","172.20","171.90","172.85","171.63","0.40K","0.07%"
"09/22/2015","172.08","171.40","171.97","171.40","3.61K","0.34%"
"09/21/2015","171.49","170.00","171.45","170.00","13.69K","1.32%"
"09/18/2015","169.26","168.38","169.33","168.02","0.89K","0.46%"
"09/17/2015","168.48","168.30","168.63","168.15","0.94K","-0.27%"
