"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","151.98","151.85","152.17","151.50","7.85K","-0.41%"
"02/27/2023","152.60","153.20","153.28","152.50","5.28K","-0.25%"
"02/24/2023","152.98","154.24","154.24","152.51","3.27K","-0.62%"
"02/23/2023","153.93","153.23","153.93","152.90","1.54K","0.56%"
"02/22/2023","153.08","152.92","153.27","152.44","3.18K","0.07%"
"02/21/2023","152.98","153.64","153.90","152.92","8.48K","-0.69%"
"02/20/2023","154.04","154.43","154.48","154.04","3.09K","-0.18%"
"02/17/2023","154.32","153.00","154.32","152.93","2.55K","0.22%"
"02/16/2023","153.98","154.20","154.38","153.50","1.93K","0.05%"
"02/15/2023","153.90","154.79","155.03","153.90","7.44K","-0.44%"
"02/14/2023","154.58","155.87","155.87","154.58","19.08K","-0.50%"
"02/13/2023","155.35","154.97","155.71","154.97","2.56K","-0.01%"
"02/10/2023","155.37","155.80","155.81","155.26","3.10K","-0.51%"
"02/09/2023","156.16","156.20","156.63","156.12","2.96K","0.46%"
"02/08/2023","155.45","155.65","155.78","155.03","7.94K","-0.52%"
"02/07/2023","156.26","156.16","156.40","155.76","2.31K","-0.10%"
"02/06/2023","156.42","157.17","157.17","156.24","1.98K","-0.76%"
"02/03/2023","157.62","158.87","158.87","157.52","3.62K","-1.11%"
"02/02/2023","159.39","156.34","159.39","156.10","3.29K","2.38%"
"02/01/2023","155.68","156.01","156.27","155.66","7.76K","-0.13%"
"01/31/2023","155.89","155.64","155.95","155.55","1.92K","0.35%"
"01/30/2023","155.35","157.19","157.19","155.35","5.67K","-0.63%"
"01/27/2023","156.34","156.54","156.54","155.90","0.95K","-0.33%"
"01/26/2023","156.86","157.81","157.81","156.86","5.14K","-0.40%"
"01/25/2023","157.49","157.90","158.56","157.49","7.62K","-0.13%"
"01/24/2023","157.70","157.09","157.49","157.01","5.20K","0.43%"
"01/23/2023","157.03","157.36","157.66","156.81","19.93K","-0.30%"
"01/20/2023","157.51","158.80","158.80","157.51","1.53K","-1.11%"
"01/19/2023","159.28","159.69","159.72","158.54","8.08K","-0.19%"
"01/18/2023","159.59","158.49","159.97","158.34","4.50K","0.73%"
"01/17/2023","158.43","156.92","158.43","156.70","3.62K","0.78%"
"01/16/2023","157.20","157.45","157.57","156.44","6.90K","-0.12%"
"01/13/2023","157.39","157.36","158.20","157.25","4.81K","0.06%"
"01/12/2023","157.30","157.34","157.87","156.84","1.88K","0.49%"
"01/11/2023","156.53","155.74","157.74","155.74","4.32K","1.05%"
"01/10/2023","154.91","155.11","155.29","154.91","2.48K","-0.51%"
"01/09/2023","155.70","155.19","155.77","154.80","9.40K","-0.01%"
