"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2011","104.76","105.08","105.42","104.69","38.90K","0.26%"
"01/10/2011","104.49","105.00","105.00","104.28","42.78K","-0.15%"
"01/07/2011","104.65","103.80","104.67","102.90","50.49K","0.93%"
"01/06/2011","103.69","103.48","103.69","102.89","29.33K","0.93%"
"01/05/2011","102.73","102.85","103.00","102.28","57.35K","0.20%"
"01/04/2011","102.53","103.60","104.47","102.10","40.49K","-1.93%"
"01/03/2011","104.55","105.26","105.38","104.49","16.46K","0.20%"
"12/30/2010","104.34","105.20","105.99","103.50","12.59K","-1.36%"
"12/29/2010","105.78","105.80","106.02","105.19","25.83K","0.29%"
"12/28/2010","105.47","104.00","105.65","103.54","26.52K","1.83%"
"12/27/2010","103.57","103.73","103.79","103.42","15.99K","-0.15%"
"12/23/2010","103.73","104.00","104.25","103.53","60.43K","-0.65%"
"12/22/2010","104.41","104.10","104.69","104.00","20.09K","0.48%"
"12/21/2010","103.91","103.91","104.14","103.55","26.77K","0.09%"
"12/20/2010","103.82","103.30","103.90","103.30","34.94K","1.14%"
"12/17/2010","102.65","102.14","102.68","101.45","36.03K","0.41%"
"12/16/2010","102.23","102.92","103.26","101.50","42.97K","-0.47%"
"12/15/2010","102.71","103.00","103.11","102.40","25.99K","-0.23%"
"12/14/2010","102.95","103.00","103.13","102.34","27.28K","0.20%"
"12/13/2010","102.74","103.82","103.94","102.68","30.03K","-0.19%"
"12/10/2010","102.94","103.38","103.62","102.62","44.86K","-0.55%"
"12/09/2010","103.51","102.86","103.85","102.86","35.54K","0.67%"
"12/08/2010","102.82","104.00","104.30","102.27","72.79K","-1.92%"
"12/07/2010","104.83","105.50","105.50","104.00","65.86K","-0.52%"
"12/06/2010","105.38","104.47","105.40","104.46","41.47K","1.61%"
"12/03/2010","103.71","103.00","104.06","103.00","67.33K","-0.54%"
"12/02/2010","104.27","104.41","104.68","103.74","52.40K","-0.33%"
"12/01/2010","104.62","105.19","105.43","104.12","44.95K","0.03%"
"11/30/2010","104.59","102.90","105.27","102.70","94.76K","1.84%"
